TARGET	DOMAIN	STATUS	SCORE	MATCHED_SEED	MATCHED_REDIRECT_HOST	IP	SCHEME	HTTP_STATUS	REDIRECT_HOST	TITLE_SIMILARITY	CONTENT_SIMILARITY	SSL_ISSUER	SERVER_BANNER	NOTE
Shopify	shomify.com	LOW_MATCH	2	shopify.com	www.shopify.com	13.223.25.84,54.243.117.197,2600:1f18:4ae:c606:78d4:4260:db4e:aeee,2600:1f18:4ae:c605:dd5d:b838:5816:d7fb	https	200	www.hugedomains.com	0.35	0.01	Unknown	cloudflare	redirects to www.hugedomains.com
Shopify	shopify9.com	LOW_MATCH	2	shopify.com	www.shopify.com	104.21.79.121,172.67.145.144,2606:4700:3033::6815:4f79,2606:4700:3030::ac43:9190	https	200	shopify9.com	0.19	0.01	Unknown	cloudflare	
Shopify	shopifyl.com	LOW_MATCH	2	shopify.com	www.shopify.com	172.67.188.32,104.21.89.51,2606:4700:3035::ac43:bc20,2606:4700:3032::6815:5933	https	200	shopifyl.com	0.33	0.01	Unknown	cloudflare	
Shopify	shopivy.com	LOW_MATCH	2	shopify.com	www.shopify.com	23.227.38.65	https	200	shopivy.com	0.12	0.01	Unknown	cloudflare	
Stripe	stirpe.com	LOW_MATCH	2	stripe.com	stripe.com	193.163.5.17,2a10:f2c0:150::17	https	200	stirpe.com	0.15	0.01	Unknown	nginx	
Stripe	strime.com	LOW_MATCH	2	stripe.com	stripe.com	136.243.194.6	https	200	www.strime.de	0.36	0.01	Unknown	nginx	redirects to www.strime.de
Stripe	ztripe.com	LOW_MATCH	2	stripe.com	stripe.com	54.186.23.98,54.187.159.182,54.187.119.242	https	404	ztripe.com	0.18	0.01	Unknown	nginx	
Venmo	venma.com	LOW_MATCH	2	venmo.com	venmo.com	35.187.46.239	https	404	venma.com	0.26	0.01	Unknown	nginx	
Venmo	veno.com	LOW_MATCH	2	venmo.com	venmo.com	78.46.187.164	https	200	veno.com	0.20	0.01	Unknown	nginx	
Zendesk	sendesk.com	LOW_MATCH	2	zendesk.com	www.zendesk.com	52.20.84.62	https	200	domains.atom.com	0.17	0.01	Unknown	cloudflare	redirects to domains.atom.com
Amazon	amazone.com	LOW_MATCH	2	amazon.com	www.amazon.com	75.2.51.62,99.83.179.101	https	202	www.amazon.fr	0.00	0.00	Unknown	CloudFront	redirects to www.amazon.fr; page title unavailable; visible text unavailable
Box	bax.com	LOW_MATCH	2	box.com	www.box.com	15.197.225.128,3.33.251.168	https	200	mediaoptions.com	0.00	0.00	Unknown	cloudflare	redirects to mediaoptions.com
Box	bbox.com	LOW_MATCH	2	box.com	www.box.com	23.227.38.65	https	200	www.bbox.com	0.00	0.00	Unknown	cloudflare	redirects to www.bbox.com
